instance,maximin,minimax,leximin,"GL: p=50, gamma 1, scale=1000"
hd_30,0.07712626698176811,0.0,0.07714420365505659,0.07295896649460683
mass_24,0.33321365815684567,0.3376436671360709,0.3402891215111413,0.34028912151116075
nexus_170,0.46946839257868367,0.0,0.46962375437211307,0.4726333074261905
sf_a_35,0.10060309544153127,0.0,0.10108395670746077,0.10011276347913808
sf_b_20,0.06093314244689254,0.0,0.060916401490490664,0.06116220766972212
sf_c_44,0.22588716744812926,0.0,0.22623679245854342,0.2208156709419584
sf_d_40,0.07899675349507282,0.0,0.0791273787871697,0.07794580696901315
obf_30,0.06489314945541605,0.0,0.06529114281558887,0.05833522012766337
