instance,maximin,minimax,leximin,"GL: p=50, gamma 1, scale=1000"
hd_30,0.4883330806247424,0.6730125523012552,0.4883090350033909,0.530468033349918
mass_24,0.13573179271708688,0.07479675009325785,0.057142875712602945,0.0571428631680157
nexus_170,0.163054422806937,0.5029239766081871,0.16280891189264735,0.16648139015635996
sf_a_35,0.21430760781114702,0.32834772581189725,0.19351536217614548,0.2587104139217575
sf_b_20,0.3344048250078406,0.69084,0.33285045568932115,0.3915686252595251
sf_c_44,0.31672053830987557,0.46417021713464407,0.31410340558648653,0.3447423527289425
sf_d_40,0.32424882580742137,0.6235561056105611,0.3173755012276084,0.3541437960573988
obf_30,0.43870488570143396,0.588721772032066,0.39884155660547754,0.4895575386499213
